drug_name,num_prescriber,total_cost
ALPRAZOLAM,173221,99188490.98999904
AMANTADINE,12777,37001427.39999994
AMBIEN,818,4858836.970000008
AMBIEN CR,785,3870495.720000003
AMITRIPTYLINE HCL,107336,71539470.61000061
ARIPIPRAZOLE,28531,637674675.5400007
BENZTROPINE MESYLATE,34816,23685455.689999975
BUPROPION XL,79054,115481390.65000094
BUSPIRONE HCL,73396,46676212.49000044
CHLORPROMAZINE HCL,7903,86076582.46000013
CITALOPRAM HBR,169480,68272745.66000107
CLOMIPRAMINE HCL,4458,47597082.53000016
CLONAZEPAM,153261,63848245.979999766
CLOZAPINE,17006,94310800.26999998
DESIPRAMINE HCL,2908,4306627.320000001
DEXTROAMPHETAMINE-AMPHETAMINE,25030,46694597.10000003
DIAZEPAM,97685,23789550.440000083
DIVALPROEX SODIUM,56273,114841599.31999972
DIVALPROEX SODIUM ER,39930,258236215.7800024
DONEPEZIL HCL,124092,168770258.18999636
DOXEPIN HCL,26818,19640301.83000002
DULOXETINE HCL,150320,685161093.2099955
ESCITALOPRAM OXALATE,143568,105590293.8599996
FANAPT,2052,47005137.76000002
FETZIMA,2443,13810475.840000002
FLUOXETINE HCL,141430,89854179.6900006
FLUPHENAZINE DECANOATE,2166,8103901.530000009
FLUPHENAZINE HCL,8689,4478025.589999991
FLUVOXAMINE MALEATE,9670,6579904.000000004
GABAPENTIN,270206,475415365.1799909
HALOPERIDOL,26308,36930745.99999983
HYDROXYZINE HCL,35034,16182745.540000014
INVEGA SUSTENNA,8279,603780166.2200007
LAMOTRIGINE,60471,37908813.18999965
LATUDA,14467,500749073.0500012
LITHIUM CARBONATE,22638,6309110.559999963
LITHIUM CARBONATE ER,12022,6334935.579999993
LORAZEPAM,165203,72842487.57000034
MIRTAZAPINE,107288,88874486.11999984
NORTRIPTYLINE HCL,42492,13642856.96000015
OLANZAPINE,54109,97264474.78999889
OLANZAPINE ODT,5315,25544780.660000008
OLEPTRO ER,32,51429.399999999994
OXCARBAZEPINE,26282,33582152.379999936
PAROXETINE HCL,119690,72167357.90000014
PERPHENAZINE,8474,21271592.259999964
PRISTIQ ER,16795,112443496.71000017
QUETIAPINE FUMARATE,109926,175651119.17999506
RISPERIDONE,72642,67444410.40000108
SEROQUEL XR,21238,487068004.8899988
SERTRALINE HCL,189161,103646437.59999993
THIOTHIXENE,3830,5647376.54
TOFRANIL,10,134278.71000000002
TOPIRAMATE,65573,35244229.6899999
TRAZODONE HCL,177745,81770100.85000008
TRIFLUOPERAZINE HCL,3813,5269750.159999993
TRIHEXYPHENIDYL HCL,9511,2549901.720000005
VALPROIC ACID,11764,6795711.510000062
VENLAFAXINE HCL ER,109318,106146456.54000103
VIIBRYD,8850,41329229.449999966
VYVANSE,4244,21746964.809999987
WELLBUTRIN XL,834,17844868.74000003
XANAX,862,3995919.0400000005
ZALEPLON,4925,2723727.460000003
ZIPRASIDONE HCL,22590,92942220.46999982
ZOLPIDEM TARTRATE,161818,89222511.27999738
ZOLPIDEM TARTRATE ER,11448,15908946.33999997
ZYPREXA,1000,13083282.740000013
AMOXICILLIN,172089,23118562.389999747
CIPROFLOXACIN HCL,174018,42151995.429998964
HYDROCODONE-ACETAMINOPHEN,306531,708906012.0200061
IBUPROFEN,136115,38318080.369999856
OXYCODONE-ACETAMINOPHEN,172138,488567855.40000325
PREDNISONE,227709,83533106.65999947
BICALUTAMIDE,8736,8181608.129999998
CEPHALEXIN,134245,25790043.439999677
FINASTERIDE,92296,91567741.41000001
LACTULOSE,36161,20661627.97999995
TAMSULOSIN HCL,168628,410733395.340005
TERAZOSIN HCL,62448,19239390.430000126
TROSPIUM CHLORIDE,5068,13332560.040000001
ALPHAGAN P,15791,148921463.26000056
BRIMONIDINE TARTRATE,22900,74242871.5900002
COMBIGAN,20362,185459059.190001
DORZOLAMIDE HCL,13046,14118644.380000008
DORZOLAMIDE-TIMOLOL,22587,41848427.54999979
DUREZOL,6054,83494399.70000017
GENTAMICIN SULFATE,7921,6646326.660000017
LATANOPROST,56352,106068238.58000001
PREDNISOLONE ACETATE,21737,152005813.3999991
TIMOLOL MALEATE,30709,63107962.10000018
VALGANCICLOVIR HCL,1219,90360305.61999983
TRAVATAN Z,27470,304138215.9599984
ADVAIR DISKUS,126902,2037745067.9199948
AMLODIPINE BESYLATE,269418,259497609.6099982
HYDROCHLOROTHIAZIDE,222497,99582953.33000068
LISINOPRIL,280369,248925319.82999986
OMEPRAZOLE,270568,437539181.78000176
AZOPT,9938,105927419.83999987
BROMFENAC SODIUM,1098,5632107.409999999
ERYTHROMYCIN,13368,13055223.030000085
ILEVRO,4244,89090765.84000027
LUMIGAN,25717,402372378.7199981
OFLOXACIN,11014,16669330.870000018
PATADAY,18089,124504194.24999999
VIGAMOX,6066,68480588.94000004
ACETAMINOPHEN-CODEINE,85476,35379266.139999956
ACETAZOLAMIDE,7113,20430705.170000035
BACLOFEN,82319,81225165.85000022
CARBAMAZEPINE ER,13625,45329675.99999991
CLOPIDOGREL,191344,209582117.09999833
LEVETIRACETAM,68952,90164867.72000095
OXYCODONE HCL,105192,252325186.3999997
PHENOBARBITAL,21098,15208975.04999989
PHENYTOIN SODIUM EXTENDED,42788,43648486.87999931
PRAVASTATIN SODIUM,181360,408341504.0800026
PYRIDOSTIGMINE BROMIDE,5541,12276666.600000022
POLYETHYLENE GLYCOL 3350,79399,69053961.45999953
CLINDAMYCIN HCL,48633,8321317.82999986
GAMUNEX-C,632,119739508.15999994
ACYCLOVIR,41998,32704615.889999818
AFEDITAB CR,1256,591986.8500000001
AGGRENOX,14078,109865234.73000048
ALENDRONATE SODIUM,140238,61896518.070000164
ALLOPURINOL,152493,129240325.92000015
AMIODARONE HCL,55388,43995020.35999971
ATENOLOL,181902,86525844.5999996
ATORVASTATIN CALCIUM,267287,700170757.1100148
BENAZEPRIL HCL,80668,25229389.77000031
BETHANECHOL CHLORIDE,6568,11193181.090000048
BUPROPION HCL,19008,13627472.080000056
BUPROPION HCL SR,63385,44016493.659999564
CALCITRIOL,21945,25210932.169999957
CARBAMAZEPINE,33607,64582407.0999998
CARBIDOPA-LEVODOPA,47676,81664128.4000005
CARBIDOPA-LEVODOPA ER,13276,27297025.49999987
CARVEDILOL,186305,112728314.46000044
CHLORDIAZEPOXIDE HCL,2420,333347.42999999935
CLONIDINE HCL,109017,32814073.74999949
CRESTOR,147240,2702805850.209984
DESONIDE,7958,36505942.36000003
ESTRADIOL,52258,38158098.16999982
FAMOTIDINE,91196,39060625.10999992
FENOFIBRATE,155758,348065619.70000225
FLUOCINONIDE,17139,55955205.17000016
FLUTICASONE PROPIONATE,187975,145823574.93999794
FUROSEMIDE,248395,134436208.50999868
GLIPIZIDE,114144,39317110.33000012
HUMALOG,30932,357654218.270001
HYDRALAZINE HCL,93205,69056574.44000027
IPRATROPIUM-ALBUTEROL,16512,16909620.509999916
ISOSORBIDE MONONITRATE ER,110562,88022059.47999956
JANUVIA,99015,1909673299.4200075
KETOCONAZOLE,38995,45632221.52000005
KLOR-CON 10,16034,8325337.169999999
LANTUS,91164,1622379042.410008
LIDODERM,5486,56984907.97000013
LOSARTAN POTASSIUM,215135,213653958.36999854
MEDROXYPROGESTERONE ACETATE,12115,4670312.69000002
METFORMIN HCL,217806,174484523.64999706
METOCLOPRAMIDE HCL,38372,8260552.850000046
METOLAZONE,27971,26713850.98000005
METOPROLOL SUCCINATE,205242,589402922.5899968
METOPROLOL TARTRATE,229422,137129635.89999858
MONTELUKAST SODIUM,144964,141038569.9099996
MYRBETRIQ,20846,258659085.9999994
NAMENDA,51128,534093167.8500033
NAPROXEN,95443,23234937.149999887
NIFEDIPINE ER,67641,85152966.32999933
NOVOLOG,34398,452098171.51999897
NYSTOP,14527,12568361.66999998
OXYBUTYNIN CHLORIDE,72724,70482636.22999988
PANTOPRAZOLE SODIUM,201633,171809538.7600035
PATANOL,8989,58770908.809999906
PIOGLITAZONE HCL,58669,82188344.61999962
POTASSIUM CHLORIDE,178840,396293758.23999506
PRADAXA,35613,440371338.13000184
PRAMIPEXOLE DIHYDROCHLORIDE,48318,37105158.16000021
PRIMIDONE,28898,16220367.269999955
PROPRANOLOL HCL ER,29319,52783553.81999977
RAMIPRIL,67701,47012301.32000019
RANITIDINE HCL,140586,84248141.63999912
SIMVASTATIN,236256,256910554.39000008
SPIRIVA,114291,1965535299.6499887
SPIRONOLACTONE,121646,48197374.629999675
SUCRALFATE,34734,30649919.81999988
SULFAMETHOXAZOLE-TRIMETHOPRIM,126252,21241200.700000457
SYMBICORT,86140,1022516154.490002
SYNTHROID,98838,228170511.14000013
TAMIFLU,9696,39129531.85999993
TEMAZEPAM,74164,42882587.93999968
TRIAMCINOLONE ACETONIDE,92637,56989701.3300006
VENLAFAXINE HCL,29712,21769308.379999805
VENTOLIN HFA,72045,111855425.8100003
VESICARE,50937,494073741.25000113
WARFARIN SODIUM,178345,178039978.94999987
AZITHROMYCIN,179584,56611458.90999932
ABILIFY,34155,1291006632.2100072
DONEPEZIL HCL ODT,1746,1207039.209999999
STRATTERA,4252,29743906.31999999
TRAMADOL HCL,219138,101276096.69000217
ESTRACE,8870,50055301.35000007
FLUCONAZOLE,70232,27344950.220000237
PREMARIN,46773,230642866.6900018
TERCONAZOLE,2095,1533561.4200000002
AMOXICILLIN-CLAVULANATE POTASS,102999,38148333.02000089
CARTIA XT,50022,44709938.37999969
CELECOXIB,79361,387617002.7199974
DICLOXACILLIN SODIUM,673,408392.2799999998
IRBESARTAN,39844,30602733.009999823
LEVOTHYROXINE SODIUM,245653,765088656.5800004
LOSARTAN-HYDROCHLOROTHIAZIDE,117800,74872812.8999998
METFORMIN HCL ER,93527,135039109.88999897
MOMETASONE FUROATE,9424,5693330.669999982
NAMENDA XR,49881,859856245.7099997
NEXIUM,114101,1760541575.8699799
NIFEDICAL XL,25756,17152798.820000038
PROAIR HFA,178476,512142633.7000003
TRIAMTERENE-HYDROCHLOROTHIAZID,104334,49049025.599999994
VALSARTAN-HYDROCHLOROTHIAZIDE,79328,105590236.49000064
INVEGA,7691,228816129.41000006
PROPRANOLOL HCL,64842,34141172.12999973
METHYLPHENIDATE HCL,18326,26668533.19999988
LEVOFLOXACIN,116536,41962013.07000019
KETOROLAC TROMETHAMINE,10460,22906283.709999874
DOXYCYCLINE MONOHYDRATE,14889,8832534.549999977
FLUOROMETHOLONE,5240,16932524.090000026
LEVOBUNOLOL HCL,2695,1684797.6299999997
LOTEMAX,7071,58808583.669999935
NEOMYCIN-POLYMYXIN-DEXAMETH,11216,7537417.439999993
PILOCARPINE HCL,7069,17743487.900000036
RESTASIS,27450,676366284.0000006
TOBRAMYCIN-DEXAMETHASONE,9411,27578564.300000068
VALACYCLOVIR,42994,37100233.8899999
CYCLOBENZAPRINE HCL,101855,53041977.00000035
CHLORHEXIDINE GLUCONATE,33111,6561142.590000022
METHYLPREDNISOLONE,77459,50145690.9899995
VIVELLE-DOT,1560,3372198.070000005
